Customer/Merchant ID,Product ID,Policy Type,Premium Amount,Policy Term,Claim Status
CUS85HG3L0URIAO,PROD100000,Life,176756,20,No Claim
CUSUHDG34AMA0BH,PROD100003,Life,151169,10,No Claim
CUSRCRGR29JO7EG,PROD100004,Health,56097,18,No Claim
CUS9V5745IP65PL,PROD100010,Life,136205,23,No Claim
CUSP9ESG35L25PA,PROD100013,Health,114586,5,Claim Filed
686637447670,PROD100014,Life,219262,23,No Claim
CUS87P58HNHESFK,PROD100015,Life,48576,19,No Claim
CUSHZDV5JHGI5XR,PROD100018,Life,119233,14,No Claim
CUSUKCOZUOWVKTY,PROD100025,Life,119206,20,No Claim
CUSIRYWKCIAI37W,PROD100046,Health,41371,5,No Claim
CUS7WG1VPPNY9WF,PROD100047,Health,94590,18,No Claim
CUSV0O5FYVE7CMJ,PROD100052,General,223304,25,Claim Filed
CUSYIS86TLFJ9P1,PROD100054,General,26490,17,No Claim
CUSOWI4J4M8N1ZV,PROD100056,Life,180328,8,No Claim
CUSKWCYUKND1IVX,PROD100059,General,105873,20,No Claim
CUSOIDTSBDHLS0H,PROD100060,General,203909,11,No Claim
CUSRZH5HQ5QAXNZ,PROD100061,Life,224649,18,No Claim
CUSBP75P3U56GZZ,PROD100066,General,226452,19,No Claim
CUS9PQQZA6BC85I,PROD100069,Health,132150,24,No Claim
CUSYDV7R0XUQJ1R,PROD100087,Life,92816,9,No Claim
CUSGZY0TQ3ZD339,PROD100093,General,61082,6,No Claim
CUS9V6G9GDNY99X,PROD100101,Health,237403,10,No Claim
CUSXZ65VQKVVTPW,PROD100109,Health,39857,20,No Claim
CUSMVTTYFQW970S,PROD100115,Life,169390,19,Claim Filed
CUSG20UHSO0MXFV,PROD100121,General,140735,7,No Claim
CUS0B110CK6KE6U,PROD100123,Life,232331,10,No Claim
CUSAT2EYF8AYGRA,PROD100131,Life,94587,25,Claim Filed
CUSG9LVXSJ2B20U,PROD100134,Life,190484,5,No Claim
CUSY8YRYH5E4LAX,PROD100140,General,63254,12,No Claim
CUSKHGE53YBMBB3,PROD100164,Health,244742,23,No Claim
CUS4EY1U10IXYFE,PROD100166,General,25147,17,No Claim
CUS4FIKNVBD98CH,PROD100167,General,55793,11,No Claim
CUSTIPZNTH3A29R,PROD100173,Health,100964,17,No Claim
CUSYJTOLUEU3OMA,PROD100176,Health,107660,21,No Claim
CUSI0QU7FTW6R0S,PROD100182,Health,234464,14,No Claim
432804086054,PROD100193,General,228998,25,No Claim
CUSLIRO6F0I5RUB,PROD100198,Life,63980,8,No Claim
CUSTCQE2I72WXV8,PROD100215,Life,113496,24,No Claim
348654947042,PROD100221,Life,161198,20,No Claim
CUSLU1KONX3W3UY,PROD100224,Life,110478,5,No Claim
CUS5XW3QKJSUDSH,PROD100226,Health,70359,8,No Claim
CUSOOIIO6BQV6AR,PROD100237,General,88941,6,No Claim
CUSU17TGQAF4ETB,PROD100242,General,91037,25,No Claim
CUS32PXMPBDB5LI,PROD100247,General,209895,5,No Claim
CUSCFR6DBFGI4DE,PROD100248,Health,100406,7,No Claim
CUSUL0HBBLFC4KY,PROD100250,Life,45125,5,No Claim
CUSM6UW8FBJOJ21,PROD100258,Life,97430,14,No Claim
CUSSMXJJDQ1CPFC,PROD100260,Health,123798,10,No Claim
708750862065,PROD100264,Health,132609,5,No Claim
CUSLB7JL6LXCUOI,PROD100266,Health,188786,10,No Claim
CUS6SXNCHKE8GNK,PROD100271,Life,103479,14,No Claim
CUSQMKV6UGB1G08,PROD100273,Life,118342,12,No Claim
CUSFK7REIDMMYIN,PROD100275,General,168444,6,No Claim
CUSKBOFRHKNCNM5,PROD100285,General,157529,23,No Claim
CUS42U4WZRZOLSS,PROD100290,General,190369,7,No Claim
CUSBDPNVV67DPNT,PROD100293,Life,36814,12,No Claim
CUSWVW00N9JR1YE,PROD100295,Life,104834,5,No Claim
CUSHKU61CSXXDSV,PROD100296,Health,86749,9,No Claim
CUS0OE34YLUXALJ,PROD100297,Life,144536,13,No Claim
CUSXCJ1TR8XF2LC,PROD100301,Life,122374,15,No Claim
CUSV0W4TQ41TSG9,PROD100308,General,177577,14,No Claim
CUS2Y2NTZMO8KMA,PROD100309,Life,158853,6,No Claim
995832452279,PROD100311,Health,125728,15,No Claim
CUS6DT6VU3GWTIK,PROD100314,Health,85788,5,No Claim
CUSUXQUF1M3IV6V,PROD100315,Life,155538,25,No Claim
CUSVNB551E9MNUY,PROD100316,Life,28888,7,No Claim
CUSGJLLYNUWTHT9,PROD100323,Health,122671,5,No Claim
CUSL56SR1ZAGLFU,PROD100325,Health,249382,5,No Claim
CUS3F48ITX9B9M8,PROD100327,General,119572,25,No Claim
CUSWKT82DQPIUNB,PROD100334,Life,206977,12,No Claim
CUSKEIHQJ90ZUCE,PROD100335,Life,175303,25,No Claim
CUSPZSS8XESBR31,PROD100337,General,38957,11,No Claim
430384932274,PROD100339,General,38240,7,No Claim
673158050089,PROD100357,General,75581,13,No Claim
