Customer/Merchant ID,Lead Source,Lead Status,Follow-up Date,Remarks
YESB96864286,Referral,In Progress,2024-04-10 00:00:00,Called for FD
YESB51651946,Walk-in,In Progress,2024-08-17 00:00:00,Called for FD
YESB78134529,Walk-in,Lost,2024-10-20 00:00:00,Wait for salary credit
YESB51856379,Digital Campaign,Converted,2024-09-23 00:00:00,Called for FD
YESB20353631,Walk-in,Converted,2024-05-15 00:00:00,KYC Pending
YESB51910434,Walk-in,Converted,2024-04-27 00:00:00,Interested in HL
YESB46617163,Referral,In Progress,2024-07-03 00:00:00,Interested in HL
YESB18557926,Digital Campaign,In Progress,2024-12-12 00:00:00,Wait for salary credit
YESB54289669,Walk-in,Converted,2024-11-14 00:00:00,Wait for salary credit
YESB71351264,Referral,Lost,2024-08-28 00:00:00,KYC Pending
YESB15242181,Walk-in,In Progress,2024-02-02 00:00:00,Interested in HL
YESB80177337,Digital Campaign,Converted,2024-04-05 00:00:00,Wait for salary credit
YESB38739714,Walk-in,Lost,2024-07-29 00:00:00,KYC Pending
YESB61521076,Referral,Converted,2024-07-22 00:00:00,Interested in HL
YESB23478730,Walk-in,In Progress,2024-03-22 00:00:00,Called for FD
YESB64817903,Referral,Converted,2024-04-11 00:00:00,Called for FD
YESB45782682,Walk-in,Converted,2024-04-04 00:00:00,KYC Pending
YESB53656679,Referral,Converted,2024-12-05 00:00:00,Called for FD
YESB89884493,Referral,Lost,2024-12-15 00:00:00,KYC Pending
YESB64420410,Walk-in,In Progress,2024-06-04 00:00:00,KYC Pending
YESB75435656,Walk-in,Converted,2024-12-21 00:00:00,Wait for salary credit
YESB37434542,Walk-in,Converted,2024-07-01 00:00:00,Interested in HL
YESB78431075,Walk-in,In Progress,2024-02-29 00:00:00,Interested in HL
YESB16027869,Referral,Lost,2024-10-15 00:00:00,Interested in HL
YESB85030258,Referral,Converted,2024-07-11 00:00:00,Interested in HL
YESB21069263,Digital Campaign,Converted,2024-03-30 00:00:00,KYC Pending
YESB92669609,Referral,Converted,2024-12-01 00:00:00,Wait for salary credit
YESB58341366,Referral,Lost,2024-03-27 00:00:00,Wait for salary credit
YESB10275180,Digital Campaign,Converted,2024-03-04 00:00:00,KYC Pending
YESB44996928,Digital Campaign,Converted,2024-02-06 00:00:00,KYC Pending
YESB82297404,Walk-in,In Progress,2024-08-13 00:00:00,KYC Pending
YESB74479240,Walk-in,In Progress,2024-01-01 00:00:00,Interested in HL
YESB13745241,Digital Campaign,In Progress,2024-06-03 00:00:00,Interested in HL
YESB10894908,Walk-in,Converted,2024-10-24 00:00:00,Interested in HL
YESB67260040,Referral,Converted,2024-05-08 00:00:00,Called for FD
YESB31388009,Referral,In Progress,2024-10-16 00:00:00,KYC Pending
YESB64149921,Digital Campaign,Lost,2024-06-20 00:00:00,KYC Pending
YESB88893275,Walk-in,Lost,2024-10-01 00:00:00,Called for FD
YESB20494962,Referral,Converted,2024-12-05 00:00:00,Called for FD
YESB64058747,Digital Campaign,Converted,2024-06-21 00:00:00,Wait for salary credit
YESB41501727,Walk-in,Converted,2024-05-05 00:00:00,Wait for salary credit
YESB35766938,Referral,Lost,2024-09-26 00:00:00,Wait for salary credit
YESB97222334,Walk-in,Lost,2024-02-21 00:00:00,Wait for salary credit
YESB85820304,Walk-in,Converted,2024-10-10 00:00:00,KYC Pending
YESB22981219,Digital Campaign,Lost,2024-11-03 00:00:00,KYC Pending
YESB27959766,Referral,Lost,2024-05-09 00:00:00,Wait for salary credit
YESB14833379,Referral,Lost,2024-06-09 00:00:00,Interested in HL
YESB25753397,Digital Campaign,Converted,2024-03-16 00:00:00,Called for FD
YESB99758997,Walk-in,In Progress,2024-10-15 00:00:00,KYC Pending
YESB72582566,Walk-in,Converted,2024-09-20 00:00:00,Interested in HL
YESB50007155,Digital Campaign,Lost,2024-11-29 00:00:00,Interested in HL
YESB78727216,Digital Campaign,In Progress,2024-04-18 00:00:00,Called for FD
YESB14758594,Digital Campaign,Converted,2024-11-05 00:00:00,Wait for salary credit
YESB95505573,Digital Campaign,In Progress,2024-07-04 00:00:00,Wait for salary credit
YESB95025289,Walk-in,In Progress,2024-04-29 00:00:00,Called for FD
YESB47899678,Digital Campaign,Converted,2024-03-06 00:00:00,Interested in HL
YESB16428289,Referral,Converted,2024-11-21 00:00:00,Wait for salary credit
YESB67165125,Walk-in,Lost,2024-05-28 00:00:00,Wait for salary credit
YESB14478069,Referral,In Progress,2024-11-11 00:00:00,Called for FD
YESB42117733,Digital Campaign,Converted,2024-05-10 00:00:00,Wait for salary credit
YESB77439430,Digital Campaign,Lost,2024-06-10 00:00:00,Called for FD
YESB63695027,Referral,Lost,2024-06-14 00:00:00,Wait for salary credit
YESB64464265,Referral,In Progress,2024-02-06 00:00:00,KYC Pending
YESB91560816,Digital Campaign,Lost,2024-08-24 00:00:00,Wait for salary credit
YESB12833128,Referral,Converted,2024-05-08 00:00:00,Interested in HL
YESB74314091,Referral,Converted,2024-05-25 00:00:00,KYC Pending
YESB81857384,Referral,Lost,2024-02-15 00:00:00,Interested in HL
YESB11600752,Walk-in,Lost,2024-04-21 00:00:00,Interested in HL
YESB62400202,Referral,In Progress,2024-05-09 00:00:00,Called for FD
YESB71201793,Digital Campaign,Converted,2024-01-11 00:00:00,Interested in HL
YESB76567945,Referral,In Progress,2024-07-12 00:00:00,KYC Pending
YESB23135454,Walk-in,In Progress,2024-07-16 00:00:00,KYC Pending
YESB63200212,Referral,Lost,2024-06-06 00:00:00,Wait for salary credit
